PTHR23076.mag.mod	METALLOPROTEASE M41 FTSH
PTHR10438.SF321.mod	THIOREDOXIN H3-RELATED
PTHR10438.SF316.mod	THIOREDOXIN X, CHLOROPLASTIC
PTHR10438.SF348.mod	SUBFAMILY NOT NAMED
PTHR10438.SF353.mod	THIOREDOXIN-LIKE PROTEIN CXXS1
PTHR10438.SF335.mod	SUBFAMILY NOT NAMED
PTHR10438.SF320.mod	THIOREDOXIN-LIKE PROTEIN CDSP32, CHLOROPLASTIC
PTHR10438.SF310.mod	THIOREDOXIN-LIKE PROTEIN CITRX, CHLOROPLASTIC
PTHR10438.SF304.mod	THIOREDOXIN-LIKE 4, CHLOROPLASTIC
PTHR10438.SF344.mod	THIOREDOXIN-1
PTHR10438.SF315.mod	THIOREDOXIN DOMAIN-CONTAINING PROTEIN 2
PTHR10438.SF349.mod	SUBFAMILY NOT NAMED
PTHR10438.SF328.mod	THIOREDOXIN H2-RELATED
PTHR10438.SF329.mod	SUBFAMILY NOT NAMED
PTHR10438.SF306.mod	SUBFAMILY NOT NAMED
PTHR10438.SF340.mod	SUBFAMILY NOT NAMED
PTHR10438.SF309.mod	THIOREDOXIN H9-RELATED
PTHR43654.mag.mod	FAMILY NOT NAMED
PTHR43654.SF3.mod	SUBFAMILY NOT NAMED
PTHR43654.SF1.mod	AMINO ACID KINASE FAMILY PROTEIN
PTHR43654.SF2.mod	GLUTAMATE 5-KINASE
