1j09A04,1.10.8.70
2qsqB01,2.60.40.10
1u58A02,2.60.40.10
2bnuB02,2.60.40.10
2h26A02,2.60.40.10
1fhgA00,2.60.40.10
2r39A00,2.60.40.10
1fyhB02,2.60.40.10
1bquA02,2.60.40.10
1ugnA01,2.60.40.10
2v44A01,2.60.40.10
1fv1B02,2.60.40.10
3edfA01,2.60.40.10
1qfoC00,2.60.40.10
2v44A02,2.60.40.10
1eerC01,2.60.40.10
1vjjA04,2.60.40.10
1bquA01,2.60.40.10
1cczA01,2.60.40.10
1waaC00,2.60.40.10
1qg3A02,2.60.40.10
1cfbA01,2.60.40.10
2a38B01,2.60.40.10
1iamA02,2.60.40.10
2j8hA02,2.60.40.10
2ny1B01,2.60.40.10
1ji1A01,2.60.40.10
1axiB02,2.60.40.10
1neuA00,2.60.40.10
1vjjA03,2.60.40.10
2j8hA01,2.60.40.10
1fnaA00,2.60.40.10
3cafA01,2.60.40.10
1gsmA02,2.60.40.10
1tvdA00,2.60.40.10
1t0pB00,2.60.40.10
1lp9E01,2.60.40.10
3bmvA03,2.60.40.10
1zxqA02,2.60.40.10
1cs6A04,2.60.40.10
1cdcA00,2.60.40.10
1fyhB01,2.60.40.10
1ex0A03,2.60.40.10
2nqcA00,2.60.40.10
1hkfA00,2.60.40.10
1cs6A02,2.60.40.10
1vcaA01,2.60.40.10
2fcbA02,2.60.40.10
1m7xB01,2.60.40.10
1ex0A04,2.60.40.10
1qz1A03,2.60.40.10
1g1cA00,2.60.40.10
1ut9A01,2.60.40.10
1qfhA02,2.60.40.10
1op3H01,2.60.40.10
2fcbA01,2.60.40.10
1xiwA00,2.60.40.10
2bc4D02,2.60.40.10
1fnfA01,2.60.40.10
1u2cA01,2.60.40.10
1iilG02,2.60.40.10
1gsmA01,2.60.40.10
1dqtA00,2.60.40.10
2hp4A00,2.60.40.10
3brdA03,2.60.40.10
1qfhA01,2.60.40.10
1fp5A02,2.60.40.10
2bc4A02,2.60.40.10
1t7vA02,2.60.40.10
1n26A03,2.60.40.10
1rhfA01,2.60.40.10
2brqA00,2.60.40.10
1fp5A01,2.60.40.10
1n26A01,2.60.40.10
1olzA03,2.60.40.10
3butA00,2.60.40.10
1fnfA03,2.60.40.10
1gl4B00,2.60.40.10
1f97A02,2.60.40.10
1uadC00,2.60.40.10
1wzlA01,2.60.40.10
1itbB02,2.60.40.10
1uctA01,2.60.40.10
1f6fB01,2.60.40.10
1f6fB02,2.60.40.10
2aepL01,2.60.40.10
1i1rA01,2.60.40.10
3d85D01,2.60.40.10
1fnfA02,2.60.40.10
1y6kR02,2.60.40.10
1iarB01,2.60.40.10
1nezH00,2.60.40.10
1u3hA00,2.60.40.10
1qg3A01,2.60.40.10
1f97A01,2.60.40.10
3fruA02,2.60.40.10
1y6kR01,2.60.40.10
1rhfA02,2.60.40.10
1dn0D02,2.60.40.10
1cczA02,2.60.40.10
3d85D03,2.60.40.10
1ti6B03,2.60.40.10
1g0dA03,2.60.40.10
2c4fT00,2.60.40.10
2ij0C00,2.60.40.10
1p7hL02,2.60.40.10
1o0vA01,2.60.40.10
1cvrA03,2.60.40.10
1axiB01,2.60.40.10
1iarB02,2.60.40.10
1jmxA03,2.60.40.10
1fo0B00,2.60.40.10
1itbB03,2.60.40.10
1g0dA04,2.60.40.10
1moeA02,2.60.40.10
2gysA02,2.60.40.10
2ak4D01,2.60.40.10
1iamA01,2.60.40.10
1sy6A01,2.60.40.10
1cidA01,2.60.40.10
1ncnA00,2.60.40.10
1cd9D01,2.60.40.10
1f2qA02,2.60.40.10
1mcpH02,2.60.40.10
2gysB04,2.60.40.10
2h32A00,2.60.40.10
1imhC02,2.60.40.10
1itbB01,2.60.40.10
2ny1B02,2.60.40.10
2fbjH02,2.60.40.10
1kv3A01,2.60.40.10
1je6A02,2.60.40.10
1dr9A01,2.60.40.10
2gysA01,2.60.40.10
1cd9B02,2.60.40.10
2ec8A03,2.60.40.10
1tdqA02,2.60.40.10
2gy5A01,2.60.40.10
2gy5A04,2.60.40.10
1qr4A01,2.60.40.10
1hxmB02,2.60.40.10
1xiwB00,2.60.40.10
1bihA02,2.60.40.10
1hzhH01,2.60.40.10
2ec8A04,2.60.40.10
1kv3A03,2.60.40.10
1ow0A02,2.60.40.10
2nziA03,2.60.40.10
1n26A02,2.60.40.10
1bihA03,2.60.40.10
1ow0A01,2.60.40.10
1fnhA01,2.60.40.10
1fnhA02,2.60.40.10
1p53A01,2.60.40.10
2gysA03,2.60.40.10
1fnhA03,2.60.40.10
1dr9A02,2.60.40.10
2c5dC01,2.60.40.10
2uzxB02,2.60.40.10
1bihA01,2.60.40.10
2gy5A02,2.60.40.10
2ec8A01,2.60.40.10
2flbT00,2.60.40.10
1g0dA01,2.60.40.10
3b43A02,2.60.40.10
1eh9A03,2.60.40.10
2ec8A02,2.60.40.10
1koaA03,2.60.40.10
1l6zA02,2.60.40.10
1bihA04,2.60.40.10
1hxmA01,2.60.40.10
1hxmA02,2.60.40.10
1p53A03,2.60.40.10
2ec8A05,2.60.40.10
1hxmB01,2.60.40.10
1mh5B02,2.60.40.10
1bf2A01,2.60.40.10
2dtgE06,2.60.40.10
2ifgA02,2.60.40.10
1cidA02,2.60.40.10
1ypzF01,2.60.40.10
2dtgE05,2.60.40.10
2e9wA01,2.60.40.10
1evuA01,2.60.40.10
1p53A02,2.60.40.10
2dtgE04,2.60.40.10
2uzyB03,2.60.40.10
2uzyB04,2.60.40.10
1ktkF02,2.60.40.10
2cumA00,2.60.40.10
1n6uA01,2.60.40.10
1n6uA02,2.60.40.10
1ac0A00,2.60.40.10
2dbjA01,2.60.40.10
1f3rB02,2.60.40.10
1nctA00,2.60.40.10
1lwrA00,2.60.40.10
2cqvA00,2.60.40.10
2fnbA00,2.60.40.10
1ehxA00,2.60.40.10
1j8kA00,2.60.40.10
1pd6A00,2.60.40.10
1owwA00,2.60.40.10
1witA00,2.60.40.10
1uemA00,2.60.40.10
1ujtA00,2.60.40.10
1jbjA01,2.60.40.10
1q38A00,2.60.40.10
2e7hA01,2.60.40.10
1k85A00,2.60.40.10
1uenA00,2.60.40.10
1gxeA00,2.60.40.10
1f00I01,2.60.40.920
1cwvA02,2.60.40.920
1cwvA03,2.60.40.920
1mkfA02,2.60.40.1340
1juhA02,2.60.120.10
3c3vA02,2.60.120.10
1juhA01,2.60.120.10
1lr5B00,2.60.120.10
2ea7C02,2.60.120.10
1ep0A00,2.60.120.10
1j58A02,2.60.120.10
1nxmA00,2.60.120.10
1j1lA02,2.60.120.10
2gm6A02,2.60.120.10
1x82A00,2.60.120.10
2qjvA01,2.60.120.10
2o1qA01,2.60.120.10
1vp6A00,2.60.120.10
1dgwA00,2.60.120.10
2oa2A01,2.60.120.10
3bpzA02,2.60.120.10
2pqqA00,2.60.120.10
2o8qA00,2.60.120.10
1pmiA01,2.60.120.10
2c0zA01,2.60.120.10
1hw5A01,2.60.120.10
1vr3A00,2.60.120.10
1xe7A00,2.60.120.10
1gqgC02,2.60.120.10
1pmiA03,2.60.120.10
1o7fA01,2.60.120.10
1vj2A00,2.60.120.10
1j58A01,2.60.120.10
1sefA01,2.60.120.10
1ne6A02,2.60.120.10
1fi2A00,2.60.120.10
2pytA00,2.60.120.10
1u7eB01,2.60.120.10
2ozjA00,2.60.120.10
3bcwA01,2.60.120.10
1o4tA00,2.60.120.10
3cjxA01,2.60.120.10
1sefA02,2.60.120.10
1o5lA00,2.60.120.10
2pfwA00,2.60.120.10
2qjvA02,2.60.120.10
1j1lA01,2.60.120.10
2oyzA00,2.60.120.10
1ft9A01,2.60.120.10
1sq4A01,2.60.120.10
1qwrA02,2.60.120.10
1o5uA00,2.60.120.10
1qwrB01,2.60.120.10
2bgcB01,2.60.120.10
3bb6C00,2.60.120.10
1y9qA02,2.60.120.10
3dl3E00,2.60.120.10
3cewA01,2.60.120.10
2p17A00,2.60.120.10
1sq4A02,2.60.120.10
2q30A01,2.60.120.10
2d5fA01,2.60.120.10
2opkB01,2.60.120.10
1o7fA03,2.60.120.10
2i45D00,2.60.120.10
1sfnA00,2.60.120.10
1rc6A00,2.60.120.10
2qdrA01,2.60.120.10
1zrrA00,2.60.120.10
2p84A01,2.60.430.10
1g8lA03,2.170.190.11
1uz5A03,2.170.190.11
1y8qD03,3.10.290.20
2f6uA00,3.20.20.390
1dj0A01,3.30.70.660
1f3vA00,3.30.70.680
2nuhA00,3.30.70.830
1kr4A00,3.30.70.830
1nzaA00,3.30.70.830
2pn6A02,3.30.70.920
2qz8A02,3.30.70.920
2ia0B02,3.30.70.920
1i1gA02,3.30.70.920
1ivzA00,3.30.70.960
1lfpA03,3.30.70.980
1mw7A03,3.30.70.980
1konA03,3.30.70.980
1u94A02,3.30.250.10
1xp8A02,3.30.250.10
1ul7A00,3.30.310.80
2sicI00,3.30.350.10
2qudA00,3.30.380.10
1mscA00,3.30.380.10
1qbeB00,3.30.380.10
2oktA01,3.30.390.10
1r0mA01,3.30.390.10
2akzA01,3.30.390.10
2pgeA01,3.30.390.10
2oztA01,3.30.390.10
2pmqA01,3.30.390.10
1r6wA02,3.30.390.10
3dgbA01,3.30.390.10
1mdlA01,3.30.390.10
2og9A01,3.30.390.10
2ps2A01,3.30.390.10
2zadA01,3.30.390.10
2oqhB01,3.30.390.10
2qgyB01,3.30.390.10
1rvkA01,3.30.390.10
1ec7C01,3.30.390.10
1tzzB01,3.30.390.10
2oo6A01,3.30.390.10
1kkoA01,3.30.390.10
2ovlA01,3.30.390.10
2oqyA01,3.30.390.10
2hzgB01,3.30.390.10
2pgwA01,3.30.390.10
1tkkA01,3.30.390.10
2oz8A01,3.30.390.10
2opjA01,3.30.390.10
2nqlA01,3.30.390.10
3cawA01,3.30.390.10
3bjsA01,3.30.390.10
2qq6B01,3.30.390.10
1jpdX01,3.30.390.10
1yeyD01,3.30.390.10
1mtpA01,3.30.497.10
2arrA01,3.30.497.10
2rivA01,3.30.497.10
1lj5A01,3.30.497.10
1uhgA02,3.30.497.10
1jmoA01,3.30.497.10
1wz9A01,3.30.497.10
1k9oI01,3.30.497.10
2b5tI01,3.30.497.10
1m93B01,3.30.497.10
1imvA02,3.30.497.10
1f0cA01,3.30.497.10
3cygA01,3.30.565.40
1f0xA04,3.30.1370.20
1o9iA02,3.30.1530.10
2q5yA00,3.30.1610.10
1li4A01,3.40.50.1480
3d64A01,3.40.50.1480
1ys1X00,3.40.50.1820
1qlwA00,3.40.50.1820
1mj5A00,3.40.50.1820
1b6gA00,3.40.50.1820
1qfmA01,3.40.50.1820
1lzlA00,3.40.50.1820
1l7aA00,3.40.50.1820
2psfA00,3.40.50.1820
1tcaA00,3.40.50.1820
1bu8A01,3.40.50.1820
1uwcA00,3.40.50.1820
1q0rA00,3.40.50.1820
3c6xA00,3.40.50.1820
2rauA00,3.40.50.1820
2dsnA00,3.40.50.1820
1gklA00,3.40.50.1820
1jkmA00,3.40.50.1820
1dqzA00,3.40.50.1820
1brtA00,3.40.50.1820
3bwxA00,3.40.50.1820
1g66A00,3.40.50.1820
1qo7A00,3.40.50.1820
1zoiA00,3.40.50.1820
1iupA00,3.40.50.1820
1mtzA00,3.40.50.1820
2qmqA00,3.40.50.1820
2hm7A00,3.40.50.1820
2qruA00,3.40.50.1820
1wm1A00,3.40.50.1820
1lnsA02,3.40.50.1820
1cexA00,3.40.50.1820
2b9vA01,3.40.50.1820
1zi8A00,3.40.50.1820
1ju3A01,3.40.50.1820
3bxpB00,3.40.50.1820
1tibA00,3.40.50.1820
1thtA00,3.40.50.1820
2r11D00,3.40.50.1820
1m33A00,3.40.50.1820
1zd3A03,3.40.50.1820
1jjfA00,3.40.50.1820
1fj2A00,3.40.50.1820
1tqhA00,3.40.50.1820
1orvA02,3.40.50.1820
3tglA00,3.40.50.1820
1ufoA00,3.40.50.1820
2qm0B01,3.40.50.1820
1j1iA00,3.40.50.1820
1cpyA01,3.40.50.1820
1ehyA00,3.40.50.1820
1jfrA00,3.40.50.1820
2q0xA01,3.40.50.1820
1qe3A00,3.40.50.1820
2i3dB00,3.40.50.1820
2pblA01,3.40.50.1820
1whtA00,3.40.50.1820
3bdiA00,3.40.50.1820
1ei9A00,3.40.50.1820
1ispA00,3.40.50.1820
1qgeD00,3.40.50.1820
1c4xA00,3.40.50.1820
2qjwA00,3.40.50.1820
1auoA00,3.40.50.1820
3b5eB00,3.40.50.1820
1k8qA00,3.40.50.1820
3bjrA00,3.40.50.1820
2hdwA01,3.40.50.1820
2o2gA00,3.40.50.1820
3bdvA00,3.40.50.1820
2qs9A00,3.40.50.1820
1ivyB00,3.40.50.1820
1llfA00,3.40.50.1820
2hihB00,3.40.50.1820
1uxoA00,3.40.50.1820
1jmkC01,3.40.50.1820
1pjaA00,3.40.50.1820
2bceA00,3.40.50.1820
1imjA00,3.40.50.1820
1ea5A00,3.40.50.1820
2px6B01,3.40.50.1820
1ukcB00,3.40.50.1820
1ac5A00,3.40.50.1820
1xfdA02,3.40.50.1820
2h7cB00,3.40.50.1820
3bixA00,3.40.50.1820
2r8bA00,3.40.50.1820
2fvyA01,3.40.50.2300
2fvyA02,3.40.50.2300
1jbeA00,3.40.50.2300
3ckmA02,3.40.50.2300
3ctpA02,3.40.50.2300
8abpA01,3.40.50.2300
1usgA02,3.40.50.2300
1s8nA01,3.40.50.2300
3ctpA01,3.40.50.2300
1qkkA00,3.40.50.2300
1jyeA02,3.40.50.2300
1gudA01,3.40.50.2300
2driA02,3.40.50.2300
1jx6A02,3.40.50.2300
2jbaA00,3.40.50.2300
2qvgA00,3.40.50.2300
2r25B00,3.40.50.2300
2h3hA01,3.40.50.2300
1k68A00,3.40.50.2300
1jyeA01,3.40.50.2300
2r47A01,3.40.50.2300
1dbwB00,3.40.50.2300
2driA01,3.40.50.2300
1mb3A00,3.40.50.2300
3crnA00,3.40.50.2300
3brqB02,3.40.50.2300
3c3kA02,3.40.50.2300
1dz3A00,3.40.50.2300
3brsA01,3.40.50.2300
2h3hB02,3.40.50.2300
3ckmA01,3.40.50.2300
3cg4A00,3.40.50.2300
1kgsA01,3.40.50.2300
8abpA02,3.40.50.2300
3c3kB01,3.40.50.2300
3brsA02,3.40.50.2300
3clkA02,3.40.50.2300
2rdmA00,3.40.50.2300
2rgyA02,3.40.50.2300
2rjnA00,3.40.50.2300
2rjoA01,3.40.50.2300
1r8jB01,3.40.50.2300
3c3mA00,3.40.50.2300
2qr3A00,3.40.50.2300
2qh8A02,3.40.50.2300
3brqB01,3.40.50.2300
1zgzA00,3.40.50.2300
2w42B01,3.40.50.2300
1dbqA01,3.40.50.2300
1p2fA01,3.40.50.2300
2qu7A02,3.40.50.2300
1srrC00,3.40.50.2300
3cnbA00,3.40.50.2300
2zayA00,3.40.50.2300
3bblA02,3.40.50.2300
2qh8A01,3.40.50.2300
3bblA01,3.40.50.2300
3cs3A02,3.40.50.2300
2fepA02,3.40.50.2300
2qxyA00,3.40.50.2300
2rgyA01,3.40.50.2300
3cg0A00,3.40.50.2300
1ny5A01,3.40.50.2300
1jx6A01,3.40.50.2300
2q5cA01,3.40.50.2300
3b2nA00,3.40.50.2300
2qsjB00,3.40.50.2300
1bykA01,3.40.50.2300
1qo0D01,3.40.50.2300
2qu7A01,3.40.50.2300
1a2oA01,3.40.50.2300
3bilA02,3.40.50.2300
2r4qA00,3.40.50.2300
3clkB01,3.40.50.2300
1a04A01,3.40.50.2300
2fepA01,3.40.50.2300
2iksB02,3.40.50.2300
1dcfA00,3.40.50.2300
3cs3A01,3.40.50.2300
3cz5B00,3.40.50.2300
2rjoA02,3.40.50.2300
3cfyA00,3.40.50.2300
1w25B02,3.40.50.2300
2qv0A00,3.40.50.2300
3cu5B00,3.40.50.2300
2hqbA02,3.40.50.2300
2iksA01,3.40.50.2300
1jdpA01,3.40.50.2300
2hqbA01,3.40.50.2300
1peaA02,3.40.50.2300
1ewkB02,3.40.50.2300
3bilA01,3.40.50.2300
1usgA01,3.40.50.2300
2b4aA00,3.40.50.2300
1bykA02,3.40.50.2300
2pjuC01,3.40.50.2300
1peaA01,3.40.50.2300
2qzjA00,3.40.50.2300
1dp4C02,3.40.50.2300
1jdpB02,3.40.50.2300
1ewkA01,3.40.50.2300
2ayzA00,3.40.50.2300
1p6qA00,3.40.50.2300
1kjnA00,3.40.50.10160
1t1jA00,3.40.50.10400
1wkcA00,3.40.50.10420
2g40A00,3.40.50.10420
1sbqA00,3.40.50.10420
1ydmA00,3.40.50.10420
1wvqC00,3.40.1520.10
1a73A00,3.90.75.10
1fcdA03,3.90.760.10
1gttA01,3.90.850.10
1i7oA02,3.90.850.10
1hyoA02,3.90.850.10
1nkqF00,3.90.850.10
1sv6A00,3.90.850.10
1j3aA00,3.90.1180.10
2qamJ00,3.90.1180.10
1v54K00,4.10.51.10
1jo6A00,4.10.81.20
1w85I00,4.10.320.10
1zy8K00,4.10.320.10
1w3dA00,4.10.320.10
1zwvA00,4.10.320.10
2c42A04,4.10.780.10
1qojA00,4.10.860.10
1e52A00,4.10.860.10
1fjgM02,4.10.910.10
1fqjC00,4.10.980.10
1v0eA04,4.10.1090.10
1oaiA00,1.10.8.10
1oksA00,1.10.8.10
1cukA03,1.10.8.10
1p3qQ00,1.10.8.10
1efuB01,1.10.8.10
3b89A01,1.10.8.10
3fe3A03,1.10.8.10
2hwjA02,1.10.8.10
2h5xA03,1.10.8.10
1a5tA02,1.10.8.10
1nv8B01,1.10.8.10
1ixrB03,1.10.8.10
1g4aE02,1.10.8.10
1bvsF03,1.10.8.10
1im2A02,1.10.8.10
1g41A02,1.10.8.10
1kyiS02,1.10.8.10
1e94E02,1.10.8.10
1g3iW02,1.10.8.10
1q02A00,1.10.8.10
1tteA02,1.10.8.10
1ifyA00,1.10.8.10
1otrA00,1.10.8.10
1v92A00,1.10.8.10
1dv0A00,1.10.8.10
1wivA00,1.10.8.10
1qamA02,1.10.8.100
1qyrA02,1.10.8.100
1i4wA02,1.10.8.100
1a6qA02,1.10.10.430
1pveA00,1.10.10.540
1wvfA04,1.10.45.10
1e8gA04,1.10.45.10
1iomA02,1.10.230.10
1cscA02,1.10.230.10
1a59A02,1.10.230.10
1vgmA02,1.10.230.10
1n3lA02,1.10.240.10
1i6lA02,1.10.240.10
2ip1A02,1.10.240.10
1r6uB02,1.10.240.10
1y42X02,1.10.240.10
1yi8A02,1.10.240.10
1r6tB02,1.10.240.10
1h3fA02,1.10.240.10
2cyaA02,1.10.240.10
3fdoA00,1.10.245.10
2axiA00,1.10.245.10
1uhrA00,1.10.245.10
1v32A00,1.10.245.10
1w27A03,1.10.274.20
1tfeA02,1.10.286.20
2pn0A01,1.10.286.20
2vsgA02,1.10.470.10
1vsgA02,1.10.470.10
1werA01,1.10.506.10
1nf1A02,1.10.506.10
3bxjA03,1.10.506.10
1musA03,1.10.740.10
1vq8200,1.10.1620.10
2h2zA03,1.10.1840.10
1lvoA03,1.10.1840.10
1j0tA00,1.10.2010.10
1n81A00,1.10.3030.10
1w33B00,1.10.3160.10
2pv4A00,1.10.3440.10
1mz9A00,1.20.5.10
1debB00,1.20.5.10
1pp9T00,1.20.5.210
3cx5H00,1.20.5.210
1ntmK00,1.20.5.220
3clqB01,1.20.5.220
1be3K00,1.20.5.220
2o01H01,1.20.5.220
2oarE02,1.20.5.220
2oarA02,1.20.5.220
2ov9A02,1.20.58.350
1h6gB02,1.20.120.270
2ck3A03,1.20.150.20
1jr3D02,1.20.272.20
1jqjC02,1.20.272.20
1de4C03,1.20.930.40
1rrzA00,1.20.970.20
1r0dB00,1.20.1410.10
2qr6A01,2.10.50.20
1jb3A00,2.40.50.120
3ckiB00,2.40.50.120
2e2dC02,2.40.50.120
1uapA00,2.40.50.120
1v54F00,2.60.11.10
1f0lB03,2.60.40.700
3cbnA00,2.60.120.630
1g6gA00,2.60.200.20
1lgpA00,2.60.200.20
1gxcA00,2.60.200.20
1mzkA00,2.60.200.20
1dmzA00,2.60.200.20
1uhtA00,2.60.200.20
1g3gA00,2.60.200.20
1r21A00,2.60.200.20
2r19A00,2.60.450.10
1t60D00,2.170.240.10
2hlyA00,3.10.550.10
2ot9A01,3.10.640.10
2pbkB00,3.20.16.10
1iedA00,3.20.16.10
1at3A00,3.20.16.10
2epiB00,3.30.70.930
1vk8A00,3.30.70.930
1lxjA00,3.30.70.930
2iboA00,3.30.70.930
2r76A00,3.30.160.150
3bf2A00,3.30.160.150
2jxpA01,3.30.160.150
3bidA01,3.30.160.160
1gk8I00,3.30.190.10
1svdM00,3.30.190.10
1bwvS00,3.30.190.10
1ib8A01,3.30.300.70
2o99B00,3.30.450.40
3ci6B00,3.30.450.40
1yspA00,3.30.450.40
1ysqA00,3.30.450.40
3bjnA00,3.30.450.40
1f5mA00,3.30.450.40
2o0yB02,3.30.450.40
2zmfA00,3.30.450.40
1ykdB02,3.30.450.40
2ia2A02,3.30.450.40
3citA00,3.30.450.40
1ykdB01,3.30.450.40
1stzA02,3.30.450.40
2qybA00,3.30.450.40
1mc0A01,3.30.450.40
1r29A00,3.30.710.10
1t1dA00,3.30.710.10
3b84A00,3.30.710.10
1fs1B00,3.30.710.10
